ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr,Lr,Wr,Dl,Hs,Ws,DBH,Vr,Vs,Drel,Lrel,Y_Xshoot,Y_Xroot,S_Ry,S_Rx,Biome,Eco_Name,Realm,Eco_ID,Vegetation,Location,Lat,Long,Spatial_buffer,Elevation,Soil_description,USDA_soil_texture,EU_soil_texture,Water_Table_Depth_Fan,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,MAP,MAE,Ai,Sa,Msur,Mdef,Psur,Pdef,Rclass,Rregime,Aclass
4248,Karasz 1996;Fan et al. 2017,Juniperus communis L.,,Cupressaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Pannonian mixed forests,PA,80431,,Central Hungary; Kiskunsági National Park; Szabadszállás,46.8444,19.1626,NA,94,sand,Sa,C,NA,283.9542,9.258333,28.93229,827.4975,298.65,266.65,32,292.4,275.4,293.95,273.6333,0.06,0.027,24.09354,0.165,0.085,0.159,0.099,0.55,0.911,0.6,0.084,4,8,0.084,0.478,D,S,sh
4249,Karimov & Molotkovski 1996;Fan et al. 2017,Saccharum ravennae,Erianthus ravennae (Saccharum ravennae),Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.2453,68.3834,NA,325,tugai association (riparian vegetation),Wa,Wa,NA,290.4917,16.1,36.84211,993.7185,311.25,267.55,43.7,285.15,300.7167,302.6667,277.95,0.043,0,90.62765,0.104,0.001,0.002,0.077,0.185,1.46,0.13,0,0,12,0,1.275,B,W,ar
4250,Karimov & Molotkovski 1996;Fan et al. 2017,Saccharum spontaneum L.,,Poaceae,Grass,P,Herbaceous,Monocot,,,C4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.2211,68.3036,NA,325,tugai association (riparian vegetation),Wa,Wa,NA,290.7708,15.95833,35.86142,1025.148,311.95,267.45,44.5,285.2167,301.5667,303.5167,277.9667,0.042,0,90.11266,0.1,0.001,0.002,0.073,0.179,1.463,0.12,0,0,12,0,1.284,B,W,ar
4251,Karimov & Molotkovski 1996;Fan et al. 2017,Halostachys belangeriana,Halostachus caesia,Amaranthaceae,Shrub,P,Woody,Dicot,,,C3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deserts & Xeric Shrublands,Badghyz and Karabil semi-desert,PA,81306,,Pamiro-Alay; W Tajikistan,37.212,68.5235,NA,325,halophyte association,Wa,Wa,NA,291.8583,15.93333,34.04558,1111.743,314.45,267.65,46.8,285.7833,303.75,305.4833,277.9167,0.045,0,90.61384,0.109,0.001,0.002,0.081,0.194,1.461,0.13,0,0,12,0,1.267,B,W,ar
4252,Karimov & Molotkovski 1996;Fan et al. 2017,Populus pruinosa Schrenk,,Salicaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.2618,68.3643,NA,330,tugai association (riparian vegetation),Wa,Wa,NA,290.4792,15.89167,36.53257,987.5002,311.15,267.65,43.5,285.15,300.5833,302.5833,278,0.043,0,90.90307,0.103,0.001,0.002,0.075,0.183,1.462,0.13,0,0,12,0,1.279,B,W,ar
4253,Karimov & Molotkovski 1996;Fan et al. 2017,Elaeagnus angustifolia L.,,Elaeagnaceae,Tree,P,Woody,Dicot,D,broad-leaf,C3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.2826,68.428,NA,330,tugai association (riparian vegetation),Wa,Wa,NA,290.5042,15.64167,36.29157,989.064,310.85,267.75,43.1,285.2167,300.6,302.6333,277.9833,0.044,0,89.838,0.106,0.001,0.002,0.079,0.19,1.458,0.13,0,0,12,0,1.268,B,W,ar
4254,Karimov & Molotkovski 1996;Fan et al. 2017,Juniperus sp.,,Cupressaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.1699,68.2879,NA,338,rock,Ro,C,NA,290.4833,15.48333,35.92421,998.5952,310.85,267.75,43.1,285.0833,300.8833,302.8,277.9167,0.042,0,90.03174,0.103,0.001,0.002,0.075,0.184,1.456,0.13,0,0,12,0,1.272,B,W,ar
4255,Karimov & Molotkovski 1996;Fan et al. 2017,Rheum maximoviczii,,Polygonaceae,Forb,P,Herbaceous,Dicot,,,C3,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Grasslands; Savannas & Shrublands,Gissaro-Alai open woodlands,PA,80808,,Pamiro-Alay; W Tajikistan,37.2234,68.2853,NA,395,away from riparian,,,NA,290.6583,15.61667,35.33183,1029.004,311.75,267.55,44.2,285.0167,301.5667,303.4667,277.8667,0.044,0,90.88824,0.105,0.001,0.002,0.076,0.187,1.443,0.13,0,0,12,0,1.256,B,W,ar
4256,Karizumi 1979;Fan et al. 2017,Cycas revoluta Thunb.,,Cycadaceae,Shrub,P,Woody,Gymnosperm,E,needle-leaf,C3,1,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4257,Karizumi 1979;Fan et al. 2017,Ginkgo biloba Linn.,,Ginkgoaceae,Tree,P,Woody,Gymnosperm,D,broad-leaf,C3,2.5,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4258,Karizumi 1979;Fan et al. 2017,Torreya nucifera,Torreya nucifera Sieb. et Zucc.,Taxaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,humus loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4259,Karizumi 1979;Fan et al. 2017,Taxus cuspidata Sieb. et Zucc.,,Taxaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4260,Karizumi 1979;Fan et al. 2017,Taxus cuspidata var. umbraculifera Makino,,Taxaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4261,Karizumi 1979;Fan et al. 2017,Taxus baccata Linn.,,Taxaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.6,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,5.63,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4262,Karizumi 1979;Fan et al. 2017,Podocarpus macrophyllus D. Don,,Podocarpaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2.4,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4263,Karizumi 1979;Fan et al. 2017,Podocarpus nagi,Podocarpus nagi Zoll. et Moritzi (Nageia nagi),Podocarpaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2.5,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo evergreen forests,PA,80440,,Nine-state; Hokkaido; Japan,31.598,130.5506,NA,91,loam,Lo,M,NA,290.825,7.816667,28.21901,718.9528,305.15,277.45,27.7,296.65,283.9667,299.65,281.8833,0.437,0.071,58.38439,0.995,0.232,0.773,0.254,2.281,1.125,2.03,0,12,0,1.156,0,D,S,hu
4264,Karizumi 1979;Fan et al. 2017,Araucaria araucana,,Araucariaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.6,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy soil,Sa,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4265,Karizumi 1979;Fan et al. 2017,Araucaria cunninghamii,,Araucariaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,3.2,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,Temperate Broadleaf & Mixed Forests,Ogasawara subtropical moist forests,OC,70109,,Nine-state; Hokkaido; Japan,27.0702,142.2163,NA,237,sandy loam to sand,LoSa,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943,1.48,NA,NA,NA,NA,NA,,TS,hu
4266,Karizumi 1979;Fan et al. 2017,Abies homolepis Sieb. et Zucc.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.8,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4267,Karizumi 1979;Fan et al. 2017,Abies firma Sieb. et Zucc.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,3.3,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,4.24,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sand loam to humus loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4268,Karizumi 1979;Fan et al. 2017,Abies sachalinensis Mast.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.7,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,8.24,NA,Temperate Broadleaf & Mixed Forests,Hokkaido deciduous forests,PA,80423,,Nine-state; Hokkaido; Japan,43.7521,142.3496,NA,120,loam,Lo,M,NA,279.8292,9.175,24.01832,1069.948,297.75,259.55,38.2,288.5167,271.6,292.6167,266.6167,0.143,0.046,35.8311,0.396,0.16,0.323,0.196,1.07,0.813,1.32,0.145,8,4,0.402,0.145,D,S,hu
4269,Karizumi 1979;Fan et al. 2017,Abies mariesii Mast.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.4,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,7.14,NA,Temperate Broadleaf & Mixed Forests,Nihonkai montane deciduous forests,PA,80428,,Nine-state; Hokkaido; Japan,39.943,141.0857,NA,285,sandy loam,SaLo,C,NA,282.6542,9.558333,25.97373,965.7203,301.05,264.25,36.8,294.3,271.2167,294.3,270.8667,0.169,0.072,31.18491,0.499,0.238,0.499,0.248,1.338,0.865,1.55,0.039,10,2,0.512,0.039,D,S,hu
4270,Karizumi 1979;Fan et al. 2017,Abies veitchii Lindl.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.5,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,11.33,NA,Temperate Broadleaf & Mixed Forests,Honshu alpine conifer forests,PA,80511,,Nine-state; Hokkaido; Japan,35.3715,138.6965,NA,2164,shallow sandy loam on volcanic rock,SaLo,C,NA,276.1,9.016667,28.89957,806.0341,292.15,260.95,31.2,286.0667,266.4167,286.0667,266.05,0.345,0.042,58.18742,0.913,0.157,0.913,0.24,2.135,0.645,3.31,0,12,0,1.49,0,D,S,hu
4271,Karizumi 1979;Fan et al. 2017,Abies veitchii Lindl.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.2,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,15.83,NA,Temperate Broadleaf & Mixed Forests,Honshu alpine conifer forests,PA,80511,,Nine-state; Hokkaido; Japan,35.3715,138.6965,NA,2164,shallow sandy loam on volcanic rock,SaLo,C,NA,276.1,9.016667,28.89957,806.0341,292.15,260.95,31.2,286.0667,266.4167,286.0667,266.05,0.345,0.042,58.18742,0.913,0.157,0.913,0.24,2.135,0.645,3.31,0,12,0,1.49,0,D,S,hu
4272,Karizumi 1979;Fan et al. 2017,Abies veitchii Lindl.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.6,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,Temperate Broadleaf & Mixed Forests,Honshu alpine conifer forests,PA,80511,,Nine-state; Hokkaido; Japan,35.3715,138.6965,NA,2164,shallow sandy loam on volcanic rock,SaLo,C,NA,276.1,9.016667,28.89957,806.0341,292.15,260.95,31.2,286.0667,266.4167,286.0667,266.05,0.345,0.042,58.18742,0.913,0.157,0.913,0.24,2.135,0.645,3.31,0,12,0,1.49,0,D,S,hu
4273,Karizumi 1979;Fan et al. 2017,Tsuga sieboldii Carr.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.9,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,7.89,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4274,Karizumi 1979;Fan et al. 2017,Tsuga diversijolia Mast.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.4,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,11.43,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4275,Karizumi 1979;Fan et al. 2017,Tsuga canadensis Carr.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.4,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,5.71,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4276,Karizumi 1979;Fan et al. 2017,Picea jezoensis,Picea jezoensis subsp. hondoensis (Mayr) P.A.Schmidt; Picea jezoensis var. hondoensis Rehder,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,14.55,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4277,Karizumi 1979;Fan et al. 2017,Picea maximowiczii,Picea maximowiczii Regel,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.8,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,18.75,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,humus loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4278,Karizumi 1979;Fan et al. 2017,Picea alcoquiana,Picea alcoquiana (H.J.Veitch ex Lindl.) Carrière; Picea bicolor Mayr (Picea alcoquiana var. alcoquiana),Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.8,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4279,Karizumi 1979;Fan et al. 2017,Picea koyamae Shirasawa,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.6,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4280,Karizumi 1979;Fan et al. 2017,Picea abies,Picea abies (L.) H.Karst.,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.3,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,12.31,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4281,Karizumi 1979;Fan et al. 2017,Picea abies,Picea abies (L.) H.Karst.,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2.3,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,4.35,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4282,Karizumi 1979;Fan et al. 2017,Picea smithiana Boiss.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,1.4,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4283,Karizumi 1979;Fan et al. 2017,Larix leptolepis Gord.,Larix leptolepis Gord. (Larix leptolepis),Pinaceae,Tree,P,Woody,Gymnosperm,D,needle-leaf,C3,2.3,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,8.26,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sand loam to humus loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4284,Karizumi 1979;Fan et al. 2017,Larix leptolepis Gord.,Larix leptolepis Gord. (Larix leptolepis),Pinaceae,Tree,P,Woody,Gymnosperm,D,needle-leaf,C3,1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sand loam to humus loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4285,Karizumi 1979;Fan et al. 2017,Pinus densiflora Sieb. et Zucc.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2.9,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,4.83,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4286,Karizumi 1979;Fan et al. 2017,Pinus densiflora Sieb. et Zucc.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,3.5,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,4.57,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,loam,Lo,M,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4287,Karizumi 1979;Fan et al. 2017,Pinus densiflora var. umbraculifera Mayr,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,0.7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2.86,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
4288,Karizumi 1979;Fan et al. 2017,Pinus thunbergii Pari.,,Pinaceae,Tree,P,Woody,Gymnosperm,E,needle-leaf,C3,2.3,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,6.52,NA,Temperate Broadleaf & Mixed Forests,Taiheiyo montane deciduous forests,PA,80441,,Nine-state; Hokkaido; Japan (avgd lat long),35.40974,138.5629,NA,916.222,sandy loam,SaLo,C,NA,282.8042,10.39167,32.07305,796.505,299.65,267.25,32.4,292.6,273.0167,292.6,273.0167,0.266,0.042,54.3631,0.726,0.15,0.726,0.15,1.759,0.904,1.95,0,12,0,0.855,0,D,S,hu
